event_date,primary,dependent,event_type,beta,r2,revenue_pct,expected_a,expected_b,actual_return,score_a,score_b,direction,is_liquid,is_htb,skipped,skip_reason,score_h1,score_h2,score_h3,score_h4,score_h7,score_h14,score_h21,score_h35,score_h49,score_h70
2021-10-26,LMT,TTMI,Earnings,0.01568707009287764,0.00018646711347503064,0.1105,0.0,0.0,0.02206695974174464,-15.396143040970415,0.0,long,False,False,True,below threshold,,,,,,,,,,
2021-10-27,GD,OPXS,Earnings,1.0,0.0,0.1848,0.0,0.0,,0.0,0.0,long,False,True,True,zero volume bars,,,,,,,,,,
2021-10-27,GD,GHM,Earnings,-0.4998827900690625,0.11765794035575372,0.1819,-0.008547734963251034,-0.001554832989815363,0.0011973662292269526,-1.1400799433270623,-1.7700931463829697,short,False,False,False,,-8.835550906873603,-1.7700931463829697,-0.05987841767674835,2.2896562841710804,6.650020838098314,10.783105812862411,8.863420899708876,-11.277372773224696,-16.980901363191254,14.986635801804079
2021-10-28,NOC,FEIM,Earnings,1.0,0.0,0.3959,0.0,0.0,,0.0,0.0,long,False,True,True,zero volume bars,,,,,,,,,,
2021-10-28,NOC,SYPR,Earnings,0.45217620582394297,0.009623274062273146,0.23,-0.028226709292907656,-0.006492143137368761,0.004977982002680414,-1.176357149925769,-1.766770217068561,long,True,True,False,,-2.3808609226246897,-1.766770217068561,-3.1252460926442187,-3.0786782925953218,-4.468976387122396,-3.8086410293584634,-2.9354359529852525,-13.89304982118947,-7.444132675363485,23.201245370362
2021-10-28,NOC,MRCY,Earnings,0.1714288932582733,0.014012208607939391,0.12,-0.010701300670142331,-0.0012841560804170797,0.005369065303423394,-1.5017208159007818,-5.181006799173183,long,True,False,False,,-9.07691738895774,-5.181006799173183,-2.2418823417082896,3.110062335291894,11.735409100314227,-6.335892946134005,-15.838886128138938,-18.81932211642068,19.447691734806362,6.581059486851974
2021-10-28,NOC,CVU,Earnings,0.14691208329008745,0.01565882233098148,0.08,0.0,0.0,0.004977982002680414,-1.5428042754379692,0.0,long,False,True,True,below threshold,,,,,,,,,,
2021-10-29,XOM,PAGP,Earnings,0.47409626268510163,0.5140595166239006,0.3,0.004801024483826478,0.0014403073451479435,-0.026751806363917024,6.572103715371077,19.573679051236923,long,True,False,False,,12.846894949786861,19.573679051236923,15.381847800495072,14.06983805292692,6.481859285334239,-11.584503540754005,-13.733392380605004,-24.93331938305323,-16.978870180860767,-18.885688798804964
2021-10-29,XOM,IMO,Earnings,0.8094983935325484,0.5282972702781767,0.2994,0.008197536898849922,0.0024543425475156665,-0.051118548360672623,7.235842423331371,21.827797005114796,long,True,False,False,,25.897304598263695,21.827797005114796,28.53952029337511,23.836303817554008,27.999416972646575,19.23768943506734,19.30272330755541,37.277016877573914,33.08928692589441,29.35563655201124
2021-10-29,XOM,PUMP,Earnings,1.2424709802576304,0.4963095531009495,0.249,0.012582114785880215,0.0031329465816841737,-0.013632538006977406,2.0834854266530765,5.351347094992274,long,True,False,False,,7.828141093057089,5.351347094992274,12.961671088759012,15.116763034996865,14.71968172327923,18.052314771141308,17.258617114113143,19.740771901342917,12.625473025414603,24.269216495534245
